0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
allpurpose flour,baking powder,baking soda,ground cinnamon, ground nutmeg, ground cloves, ground ginger, margarine,softened, shortening, white sugar,eggs, vanilla extract,buttermilk,maple flavored syrup,egg whites,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,   package spice cake mix  dry , MUSSELMAN'S Apple Butter, vegetable oil,eggs,Filling  see Note  ,cream cheese,softened,unsalted butter,softened,powdered sugar,milk,vanilla,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
flour,baking soda, salt, nutmeg, ground cinnamon, ground cloves, sugar, butter,softened,eggs, buttermilk,MUSSELMAN'S Apple Butter,powdered sugar,orange juice,orange peel,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,baking powder, baking soda, salt,ground cinnamon, ground cloves, ground nutmeg, butter,white sugar,eggs,, vanilla extract,apples ,cored and thinly,allpurpose flour, brown sugar, ground cinnamon,cold butter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,softened,packed light brown sugar, white sugar, ground allspice, ground nutmeg,eggs, vanilla extract, allpurpose flour, rolled oats, baking soda, baking powder, salt, sour cream,mashed bananas,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cooking spray,allpurpose flour,white sugar,baking soda,ground cinnamon,ground cloves, salt,green tomatoes, applesauce,eggs,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs, white sugar, extravirgin olive oil,fresh orange zest,Chinese fivespice powder, allpurpose flour,baking powder,pinch salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar,butter,softened, allpurpose flour,plain yogurt,eggs,vanilla extract,ground cinnamon,ground allspice, ground nutmeg, ground cloves, salt, baking soda,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 shortening,brown sugar, white sugar,eggs,vanilla extract, allpurpose flour,baking powder, baking soda, salt,ground cinnamon, ground nutmeg, milk,apple ,cored,and, shortening,sifted confectioners ' sugar, ground cinnamon,pinch ground nutmeg, evaporated milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package spice cake mix,   can condensed tomato soup, water,eggs, canola oil, shredded carrot, pecans  optional ,confectioners ' sugar,lemon juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 white sugar,butter,softened,eggs,lemon,zested and juiced,cake flour,baking powder,pinch salt,pinch ground ginger,or to taste, milk,divided, whisky,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
dark brown sugar, butter,melted,   can pineapple rings,juice drained and reserved,maraschino cherries,or more as needed,allpurpose flour,baking soda, ground ginger,ground cinnamon,ground cloves,salt,butter,white sugar,eggs,molasses,hot water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,baking powder,baking soda, salt, unsweetened cocoa powder,white sugar,eggs, vegetable oil,milk, vanilla extract,strong,hot,brewed coffee,smooth peanut butter,butter,softened, confectioners ' sugar,vanilla extract,heavy cream,confectioners ' sugar,unsalted butter, unsweetened cocoa powder,egg white,vanilla extract,pinch salt,heavy cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
mascarpone cheese,heavy whipping cream, confectioners ' sugar,coffeeflavored liqueur,instant coffee granules, vanilla extract,sponge cake, unsweetened cocoa powder,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 finely ground walnuts, walnuts,eggs, white sugar,vanilla extract,raspberry sauce, allpurpose flour,apricot preserves,brandy,heavy whipping cream, confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
  packages sweetened gelatin mix  such as JellO ,different colors, boiling water,divided, cold water,divided,  package unflavored gelatin powder,   can sweetened condensed milk, fluid double cream,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fresh strawberries,hulled and, white sugar,   envelope plain unflavored gelatin,fresh blueberries, white sugar,   envelope plain unflavored gelatin,   loaves angel food cake,inch thick,  tubs frozen whipped topping,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour, ground cinnamon, ground nutmeg,baking soda, salt,lard, white sugar,eggs,beaten,walnuts, raisins, dried currants, dates,fresh bread crumbs, orange juice,butter, confectioners ' sugar, boiling water, brandy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 cake flour, baking powder,powdered green tea,egg yolks, white sugar, water, vanilla extract,egg whites,black sesame seeds,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
egg white,light brown sugar,egg yolk, milk,vanilla extract, allpurpose flour,baking powder,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 pitted,dates,baking soda, boiling water, butter, white sugar,eggs,beaten, selfrising flour, packed brown sugar, butter, evaporated milk,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 cake flour, baking powder,white sugar,  package strawberry flavored JellO,butter,softened,eggs,milk,vanilla extract, strawberries,pureed, heavy cream,sugar, vanilla extract, fresh strawberries,, margarine,softened,  package cream cheese,softened,confectioners ' sugar,vanilla extract, quartered strawberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package angel food cake mix,heavy whipping cream,confectioners ' sugar,unsweetened cocoa powder,fresh strawberries,halved,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,  package strawberry flavored JellO mix,allpurpose flour, water, vegetable oil,eggs,   package frozen strawberries, butter, confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix,  package strawberry flavored JellO mix,mashed strawberries,vegetable oil,eggs, sweetened condensed milk, flaked coconut, finely walnuts,confectioners ' sugar, margarine,melted, mashed strawberries, flaked coconut,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package strawberry cake mix,eggs,beaten, fresh strawberries,whipped cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
water,cornstarch, frozen strawberries,thawed and into bite size pieces, white sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar,  package strawberry flavored JellO,butter,softened,eggs  , sifted cake flour, baking powder,whole milk,,vanilla extract, strawberry puree made from frozen sweetened strawberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix,  package strawberry flavored JellO, vegetable oil,eggs,allpurpose flour,frozen strawberries, buttermilk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
  package strawberry flavored JellO, cold water,   package white cake mix,eggs,vegetable oil,allpurpose flour,   package frozen strawberries,thawed,butter,confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix,egg white,white sugar,fresh strawberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix,  package strawberry flavored JellO, water, vegetable oil,eggs,    package frozen strawberries,margarine,melted,confectioners ' sugar,    package frozen strawberries,milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package strawberry cake mix,    package butterscotch chips,eggs, brown sugar, butter,softened, water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,cooking spray,   package devil 's food cake mix,water,eggs, vegetable oil,Frosting ,cold milk,   package instant chocolate pudding mix, confectioners ' sugar,  container frozen whipped topping,thawed,strawberry,fresh strawberries,chocolate syrup,or to taste,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chocolate cookie crumbs,butter,melted,fresh strawberries,halved,semisweet chocolate chips, water,light corn syrup, heavy cream,divided,white sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package strawberry cake mix,water,eggs, vegetable oil,   can sweetened condensed milk,   package frozen sweetened strawberries,thawed but not drained,   container frozen whipped topping  such as Cool Whip ,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix, frozen sweetened strawberries,pureed, cream cheese,  squares white chocolate,heavy whipping cream,  container frozen whipped topping,thawed, fresh strawberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Strawberry Cake ,   package white cake mix,  package strawberry flavored JellO mix,mashed fresh strawberries,vegetable oil, milk,eggs,flaked coconut, pecans,Strawberry Cream Cheese Frosting ,  package cream cheese,, butter,, confectioners ' sugar, fresh strawberries, flaked coconut, pecans,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package marble cake mix,  package strawberry flavored JellO,boiling water,   envelope whipped topping mix,   package instant vanilla pudding mix,milk,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix,egg whites, water, vegetable oil, strawberry margarita mix,lime zest,   container frozen whipped topping,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
stalks rhubarb,into  inch pieces,strawberries,hulled and, white sugar,divided, butter,softened,egg,orange zest,vanilla extract, allpurpose flour,baking powder, baking soda, salt, buttermilk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,box strawberry cake mix, water,eggs, vegetable oil,   packages frozen strawberries,Topping ,   package instant vanilla pudding mix,milk,frozen whipped topping,thawed,fresh strawberries  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Filling , sugar, cornstarch,rhubarb,   package frozen strawberries,thawed,lemon juice,Cake ,allpurpose flour,sugar,baking powder,baking soda,cold butter or margarine,eggs,buttermilk,vanilla extract,Topping , sugar, allpurpose flour, cold butter or margarine,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix  such as Duncan Hines ,water, vegetable oil,egg whites, frozen strawberries,thawed, buttercream icing,strawberry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
milk,  package instant sugarfree vanilla pudding mix,angel food cakes,in half horizontally,   packages frozen strawberries  such as Dole ,thawed,   package frozen whipped topping  such as Cool Whip ,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
miniature marshmallows,   packages frozen strawberries in syrup,thawed,  package strawberry flavored JellO, allpurpose flour, white sugar, shortening,baking powder, salt,milk,vanilla extract,eggs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   can LUCKY LEAF Premium Strawberry Fruit Filling,   package strawberry cake mix, melted butter, white chocolate baking pieces,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix  such as Betty Crocker ,cold water,divided, oil,eggs,cooking spray, confectioners ' sugar,  package lowfat cream cheese,vanilla extract,  container whipped topping,boiling water,  package strawberry flavored gelatin  such as JellO ,strawberries,or to taste,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix, water, vegetable oil,eggs,   package strawberry flavored JellO,   can sweetened condensed milk,   jar strawberry preserves,   container cream cheese frosting,  container frozen whipped topping,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix,  package orange flavored JellO mix,   packages frozen strawberries,thawed,   package miniature marshmallows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,white sugar,eggs,sour cream,vanilla extract,allpurpose flour,baking powder,baking soda, white sugar,ground cinnamon,walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   can LUCKY LEAF Premium Apple Fruit Filling,Pan prep ,sugar, ground cinnamon,Cake Batter ,allpurpose flour, salt, baking powder,sugar,vegetable oil,eggs,beaten, orange juice,vanilla extract,Optional ,powdered sugar,orange juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs, vegetable oil,unsweetened applesauce,frozen apple juice concentrate,thawed, allpurpose flour,baking soda,ground ginger, ground almonds,Macintosh apples ,cored and finely,  package cream cheese,unsweetened apple butter,frozen apple juice concentrate,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,melted and cooled,milk,eggs,vanilla extract, granular sucrolose sweetener  such as Splenda ,baking powder,allpurpose flour, fresh or frozen blueberries, malitol brown sugar substitute, flour,ground cinnamon, butter,softened,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
raisins,water,eggs,liquid sweetener, vegetable oil,vanilla extract,baking soda, salt, ground cinnamon, ground nutmeg,allpurpose flour,walnuts,unsweetened applesauce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,baking powder,baking soda, ground cinnamon, ground nutmeg, salt, unsweetened applesauce, brown sugar twin,eggs,vanilla extract, raisins,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,white sugar,margarine, vegetable shortening  such as Crisco ,allpurpose flour,fluid citrusflavored soda  such as Sun Drop ,eggs,lemon extract,vanilla extract,,confectioners sugar,margarine,melted,fluid citrusflavored soda  such as Sun Drop ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,white sugar,boiling water,allpurpose flour, baking powder, salt,lemon extract,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,ground cinnamon,vanilla extract,Granny Smith apples ,cored and finely,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   cans refrigerated sweet dough,  fluid  cans creamy vanilla readytospread frosting, milk,drops green food coloring,drops yellow food coloring,drop red food coloring,drop blue food coloring, multicolored sprinkles,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cooking spray, semisweet chocolate chips,white sugar,egg,allpurpose flour,milk,unsweetened cocoa powder, sour cream,vegetable oil,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix  such as Pillsbury Moist Supreme Classic White Cake Mix ,   jar raspberry preserves,  carton sour cream, milk,eggs, vegetable oil,   container lemon frosting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar, unsalted butter,eggs,ripe bananas,mashed,allpurpose flour,baking soda, salt, walnuts,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar,allpurpose flour, salt,butter,water,unsweetened cocoa powder, sour cream,eggs,baking soda, cayenne pepper, butter,melted, unsweetened cocoa powder,confectioners ' sugar, milk,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cooking spray,   package white cake mix,   package instant French vanilla pudding mix, water, vegetable oil,eggs,drop red food coloring,or as needed,drop blue food coloring,or as needed,butterflavored shortening,unsalted butter,salt,clear imitation vanilla extract,confectioners ' sugar,heavy cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cake flour,baking powder, baking soda,salt,butter,softened, white sugar, brown sugar,eggs,vanilla extract,sour cream,white sugar, butter, water,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake, white sugar, shortening,eggs,vanilla, allpurpose flour,baking soda,ground cinnamon, nutmeg, salt,apples ,cored and, walnuts,Topping,milk,margarine, brown sugar,packed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, salt,baking powder, butter,softened,egg,beaten,sour cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar,allpurpose flour,eggs, walnuts,baking soda,vanilla extract,   can pineapple with juice,  package cream cheese, confectioners ' sugar, walnuts, butter,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,white sugar,ground cinnamon, baking soda, baking powder, ground cloves,egg,beaten,milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour, unsweetened cocoa powder,pinch salt,eggs, white sugar,vanilla extract, butter,melted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour, unsweetened cocoa powder, baking powder,dried apricots,boiling water,almond paste, white sugar,eggs, whole milk,bittersweet chocolate,, finely crystallized ginger, unsalted butter,melted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,softened, masa harina, water, frozen wholekernel corn,thawed, cornmeal, white sugar,heavy whipping cream, salt, baking powder,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cornmeal,allpurpose flour, white sugar,baking powder,salt, vegetable oil, melted butter,honey,eggs,beaten, whole milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cornmeal, white sugar,milk,coconut milk,allpurpose flour,eggs, vegetable oil,baking powder,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,baking powder,ground cinnamon,salt, unsalted butter,softened,white sugar,eggs,   can sweetened condensed milk,  fluid  can evaporated milk,fresh corn kernels,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar, allpurpose flour,baking powder,baking soda,butter,pitted sweet cherries,white sugar, olive oil,eggs,  container plain yogurt,olive oil,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 sifted cake flour,baking powder, baking soda, salt, ground cinnamon, ground allspice, ground ginger, butter,,dark brown sugar,white sugar,eggs,, buttermilk,, mashed sweet potatoes, finely golden raisins,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cooking spray,Cake ,soft white wheat flour,baking soda,cinnamon, salt, brown sugar, honey, butter,softened,egg,cooked mashed sweet potatoes, vanilla,Topping , allpurpose flour, brown sugar, rolled oats, butter,softened,cinnamon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,softened,white sugar,cooked and mashed sweet potatoes,vanilla extract,eggs,allpurpose flour,baking powder,ground cinnamon, baking soda, ground nutmeg, salt,sifted confectioners ' sugar,orange juice,orange zest,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,kosher salt,baking soda,ground cinnamon,ground nutmeg,allspice,ground cloves, white sugar, cooked and mashed sweet potatoes, eggs,vegetable oil,orange juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   can LUCKY LEAF Regular or Premium Cherry Fruit Filling,eggs,beaten,sugar, cooking oil, allpurpose flour,baking powder, vanilla,Dash of salt,sugar, ground cinnamon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
egg yolks, white sugar, finely almonds,carrots,lemon,zested and juiced, allpurpose flour, baking powder,egg whites,pinch salt,lemon,juiced,confectioners ' sugar,or as needed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
